text,label
This product is amazing,positive
Excellent quality,positive
Highly recommended,positive
Very satisfied,positive
Works perfectly,positive
Great value for money,positive
Superb product,positive
Loved it,positive
Fantastic experience,positive
Very reliable,positive
Worst product ever,negative
Very disappointing,negative
Not worth it,negative
Poor quality,negative
Completely useless,negative
Terrible experience,negative
Waste of money,negative
Broke quickly,negative
Not recommended,negative
Very bad,negative
It is okay,neutral
Average product,neutral
Nothing special,neutral
Works fine,neutral
Decent quality,neutral
Just okay,neutral
Not too good,neutral
Manageable,neutral
Average experience,neutral
Fine for use,neutral
